,,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses
Commodity description,,Area of holding - Total area (ha) (a),"Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)",Water source - Total volume of water from all sources (ML) (b),Water source - Water taken from on-farm dams or tanks - Total volume used (ML),"Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)",Water use - Total application rate (ML/ha),Water use - Total area watered (ha),Water use - Total volume applied (ML),Area of holding - Total area (ha) (a),"Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)",Water source - Total volume of water from all sources (ML) (b),Water source - Water taken from on-farm dams or tanks - Total volume used (ML),"Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)",Water use - Total application rate (ML/ha),Water use - Total area watered (ha),Water use - Total volume applied (ML)
Region label,Year,,,,,,,,,,,,,,,,
Newcomb - Moolap,2020,13.41,,8.2,1.49,,2.12,3.87,8.2,2.0,,2.0,1.0,,0.0,2.0,2.0
Newman,2020,390175.0,,,,,,,,1.0,,,,,,,
Newnham - Mayfield,2020,54.18,,,,,,,,1.0,,,,,,,
Newport - Bilgola,2020,124.54,50.77,179.74,,128.98,1.47,122.32,179.74,1.0,1.0,1.0,,1.0,0.0,1.0,1.0
Newtown (Qld),2020,2441.96,,,,,,,,2.0,,,,,,,
Nhill Region,2020,642092.71,3763.62,4813.95,,,3.0,1572.56,4716.69,425.0,10.0,10.0,,,0.0,9.0,9.0
Niagara Park - Lisarow,2020,49.31,,,,,,,,2.0,,,,,,,
Noble Park - East,2020,1.15,,1.27,,,1.25,1.02,1.27,1.0,,1.0,,,0.0,1.0,1.0
Noosa Hinterland,2020,27982.89,4.49,233.04,140.23,88.32,1.11,229.9,255.85,66.0,3.0,15.0,13.0,2.0,0.0,15.0,15.0
Norlane,2020,0.3,,1.19,1.19,,4.0,0.3,1.19,1.0,,1.0,1.0,,0.0,1.0,1.0
Norman Gardens,2020,1929.16,,,,,,,,1.0,,,,,,,
North Burnett,2020,4258.05,,,,,,,,2.0,,,,,,,
North Ipswich - Tivoli,2020,20.8,,12.13,11.56,,11.67,1.04,12.13,1.0,,1.0,1.0,,0.0,1.0,1.0
North Kellyville,2020,3.46,,,,,,,,1.0,,,,,,,
North Mackay,2020,32.93,,,,,,,,1.0,,,,,,,
North Nowra - Bomaderry,2020,2006.48,0.6,4.39,2.0,,0.23,35.83,8.36,20.0,1.0,1.0,1.0,,0.0,1.0,1.0
North Sydney - Lavender Bay,2020,10.0,,,,,,,,1.0,,,,,,,
North West,2011,5239692.5,22008.7,609995.5,17484.5,287458.8,3.7,160406.8,609995.5,5908.0,1013.0,4784.0,1652.0,693.0,0.0,1908.0,4784.0
North West,2012,5382204.1,16594.8,813393.8,12918.6,346320.2,4.1,193010.7,813393.8,5767.0,1171.0,4807.0,1529.0,579.0,0.0,1810.0,4807.0
North West,2013,5182666.27,39674.94,942674.09,20971.18,470184.62,4.96,184569.48,916351.06,5570.0,833.0,4577.0,1436.0,373.0,0.0,2135.0,2135.0
North West,2014,5262972.42,28337.44,755077.64,8319.47,302504.46,4.46,164346.43,733452.55,5666.0,1213.0,4699.0,1789.0,697.0,0.0,2174.0,2174.0
North West,2015,4655478.69,27082.45,704269.11,11076.86,399052.94,4.79,142751.76,684427.26,4404.0,817.0,3536.0,1022.0,526.0,0.0,1319.0,1319.0
North West,2016,4718888.82,15614.89,628204.52,11166.99,314159.4,4.45,137533.34,611901.19,4475.0,667.0,3552.0,1100.0,462.0,0.0,1164.0,1164.0
North West,2017,4841562.92,29473.52,723493.35,9712.75,351897.34,4.29,163443.08,701969.82,4556.0,863.0,3925.0,1499.0,379.0,0.0,1213.0,1213.0
North West,2018,5092930.48,33502.61,636546.87,7497.73,310346.63,4.68,131643.12,616187.77,4566.0,706.0,3630.0,1313.0,370.0,0.0,1091.0,1091.0
North West,2019,5010539.47,19440.23,571311.22,9102.61,171826.08,4.67,115455.05,539553.67,4187.0,396.0,2350.0,579.0,292.0,0.0,1009.0,1009.0
North West,2020,2562101.0850000004,15600.029999999999,330386.89499999996,4313.195,101766.155,3.67,67540.01,321831.47,2261.5,47.0,606.0,43.0,116.0,0.0,601.0,601.0
Northam,2020,111835.07,12.8,13.31,0.51,,1.11,4.61,5.12,98.0,1.0,1.0,1.0,,0.0,1.0,1.0
Northampton - Mullewa - Greenough,2020,1710149.62,629.91,849.39,199.71,,4.7,181.2,852.24,301.0,9.0,10.0,1.0,,0.0,10.0,10.0
Northern Beaches,2020,11540.67,559.8,2002.72,63.74,1378.02,2.19,915.52,2002.72,24.0,3.0,12.0,3.0,7.0,0.0,12.0,12.0
Northern Highlands,2020,9824985.76,4401.02,7878.42,,2784.4,6.47,1212.77,7850.28,309.0,6.0,7.0,,2.0,0.0,7.0,7.0
Northern Midlands,2020,305300.91,191.27,87177.38,24913.25,40467.49,3.47,23535.03,81637.2,139.0,4.0,84.0,48.0,46.0,0.0,84.0,84.0
Northern Peninsula,2020,138.39,,,,,,,,2.0,,,,,,,
Northern Territory,2011,55114996.0,43784.0,58094.0,7975.7,6263.8,3.9,5711.6,58094.0,511.0,432.0,468.0,127.0,112.0,0.0,230.0,468.0
Northern Territory,2012,54496370.4,42917.2,50394.4,3207.3,3676.2,3.8,4705.4,50394.4,462.0,402.0,416.0,115.0,85.0,0.0,191.0,416.0
Northern Territory,2013,51871345.84,47748.93,57178.31,4716.66,4062.98,3.88,4511.5,17508.56,466.0,384.0,415.0,97.0,82.0,0.0,186.0,186.0
Northern Territory,2014,50391658.53,48453.52,61781.24,4302.48,8170.7,4.74,5910.27,27991.68,443.0,362.0,403.0,66.0,77.0,0.0,194.0,194.0
Northern Territory,2015,53546279.86,34441.58,47019.22,3649.78,7461.17,3.59,4695.86,16878.96,374.0,320.0,347.0,99.0,68.0,0.0,150.0,150.0
Northern Territory,2016,54580046.46,57039.53,95165.2,33968.41,3858.95,0.0,0.0,0.0,372.0,322.0,349.0,65.0,48.0,0.0,156.0,156.0
Northern Territory,2017,51717631.73,48699.34,92147.04,40208.72,2590.8,2.18,26092.28,56773.62,356.0,289.0,331.0,77.0,54.0,0.0,136.0,136.0
Northern Territory,2018,57070981.49,39486.29,64339.65,21005.29,3688.99,1.48,25131.95,37187.22,382.0,309.0,343.0,65.0,35.0,0.0,146.0,146.0
Northern Territory,2019,53850391.22,44080.83,49109.3,2602.18,1990.49,0.0,0.0,0.0,364.0,295.0,317.0,36.0,21.0,0.0,155.0,155.0
Northern Territory,2020,53063179.41,28751.76,0.0,1390.81,0.0,0.0,7232.35,0.0,370.0,146.0,153.0,4.0,5.0,0.0,153.0,153.0
Northern Territory - Outback,2012,54261376.6,36932.8,44213.9,3163.4,3525.3,4.2,2871.2,44213.9,288.0,257.0,269.0,104.0,74.0,0.0,67.0,269.0
Northern Territory - Outback,2013,51752794.68,36815.28,46046.95,4674.49,4022.41,3.99,1682.67,6712.54,293.0,252.0,277.0,90.0,75.0,0.0,63.0,63.0
Northern Territory - Outback,2014,50260479.91,37316.31,50082.0,4086.82,8111.09,5.92,2820.58,16691.44,283.0,234.0,267.0,60.0,72.0,0.0,73.0,73.0
Northern Territory - Outback,2015,53436500.62,28615.95,40954.48,3629.41,7411.31,5.45,2041.59,11126.3,250.0,214.0,238.0,92.0,64.0,0.0,53.0,53.0
Northern Territory - Outback,2016,54484199.96,50121.38,87898.45,33858.3,3850.4,2.6,17874.6,46535.53,259.0,222.0,245.0,56.0,43.0,0.0,64.0,64.0
Northern Territory - Outback,2017,51604022.14,41517.78,84746.51,40147.25,2590.77,2.11,23722.64,50053.8,256.0,206.0,245.0,69.0,50.0,0.0,64.0,64.0
Northern Territory - Outback,2018,56970626.67,31082.18,55098.8,20297.07,3688.99,1.27,22669.89,28712.55,262.0,210.0,239.0,59.0,35.0,0.0,53.0,53.0
Northern Territory - Outback,2019,53745327.45,34241.94,38792.21,2505.32,1990.49,0.0,0.0,0.0,242.0,191.0,209.0,31.0,21.0,0.0,58.0,58.0
Northern Territory - Outback,2020,52964865.68,19497.88,0.0,1190.81,0.0,0.0,4496.58,0.0,255.0,57.0,62.0,3.0,5.0,0.0,62.0,62.0
Northern Territory-Outback,2011,55003014.8,33863.0,47770.2,7636.9,6240.8,4.6,2653.1,47770.2,329.0,275.0,302.0,115.0,102.0,0.0,79.0,302.0
Nowra,2020,1822.71,,85.9,1.9,,0.28,217.1,60.9,7.0,,3.0,1.0,,0.0,3.0,3.0
Numurkah,2020,132145.15,25647.46,128972.36,836.6,12946.18,2.65,45994.64,122055.38,448.0,104.0,348.0,24.0,47.0,0.0,348.0,348.0
Nunawading,2020,65.54,,8.09,8.09,,2.5,3.24,8.09,1.0,,1.0,1.0,,0.0,1.0,1.0
Nuriootpa,2020,8031.92,439.52,2679.93,81.47,1519.09,1.15,2292.55,2626.51,57.0,21.0,47.0,5.0,5.0,0.0,47.0,47.0
Nyngan - Warren,2020,1464462.55,2246.13,81646.54,36353.71,33713.47,7.04,11593.35,81649.4,266.0,3.0,30.0,7.0,15.0,0.0,30.0,30.0
Oberon,2020,119268.74,,1.3,,,2.54,1.3,3.3,169.0,,1.0,,,0.0,1.0,1.0
Ocean Grove,2020,1465.13,,2.32,1.74,,0.36,6.5,2.32,18.0,,1.0,1.0,,0.0,1.0,1.0
Old Bar - Manning Point - Red Head,2020,4745.33,,124.34,124.34,,1.79,0.62,1.11,13.0,,1.0,1.0,,0.0,1.0,1.0
Old Beach - Otago,2020,123.34,,50.46,,,2.28,20.18,45.97,1.0,,1.0,,,0.0,1.0,1.0
One Tree Hill,2020,2530.01,1019.88,1028.99,3.55,,4.46,230.67,1028.99,16.0,5.0,6.0,1.0,,0.0,6.0,6.0
Ooralea - Bakers Creek,2020,2097.53,410.94,922.35,480.42,,1.16,614.57,715.1,14.0,4.0,6.0,3.0,,0.0,6.0,6.0
Oran Park,2020,2169.38,,1213.55,1213.55,,1.72,705.37,1213.55,4.0,,2.0,2.0,,0.0,2.0,2.0
Orange,2020,8427.42,6.41,21.66,15.25,,0.77,28.2,21.66,23.0,1.0,3.0,2.0,,0.0,3.0,3.0
Orange - North,2020,2044.38,,44.97,44.97,,3.0,14.99,44.97,8.0,,1.0,1.0,,0.0,1.0,1.0
Orange Surrounds,2020,329438.14,2973.55,4121.7,977.31,43.34,1.92,1949.56,3733.82,524.0,23.0,46.0,29.0,3.0,0.0,46.0,46.0
Orbost,2020,102236.57,18.47,722.72,22.03,481.46,1.0,740.4,739.72,203.0,3.0,15.0,2.0,7.0,0.0,15.0,15.0
Ormeau (East) - Stapylton,2020,140.87,,,,,,,,3.0,,,,,,,
Ormeau (West) - Yatala,2020,61.31,,89.59,87.68,,8.74,10.25,89.59,3.0,,2.0,1.0,,0.0,2.0,2.0
Otway,2020,11848.49,,109.71,,96.87,1.81,60.65,109.71,62.0,,3.0,,3.0,0.0,3.0,3.0
Ourimbah - Fountaindale,2020,91.99,0.59,34.06,11.17,7.43,7.6,8.45,64.15,6.0,1.0,3.0,1.0,1.0,0.0,3.0,3.0
Outback,2020,31674411.71,42.56,42.56,,,2.67,15.96,42.56,116.0,1.0,1.0,,,0.0,1.0,1.0
Oxenford - Maudsland,2020,114.36,,,,,,,,2.0,,,,,,,
Oxley (Qld),2020,0.92,,,,,,,,1.0,,,,,,,
Pakenham - North East,2020,552.75,,102.93,102.93,,3.0,34.31,102.93,3.0,,1.0,1.0,,0.0,1.0,1.0
Pakenham - North West,2020,94.8,,12.5,9.86,2.59,0.63,26.66,16.93,3.0,,2.0,2.0,1.0,0.0,2.0,2.0
Pakenham - South East,2020,1851.86,,13.58,13.58,,2.0,6.79,13.58,8.0,,1.0,1.0,,0.0,1.0,1.0
Pakenham - South West,2020,53.15,,304.42,2.42,,7.1,42.88,304.42,1.0,,1.0,1.0,,0.0,1.0,1.0
Pallara - Willawong,2020,9.09,,640.46,633.89,,144.34,4.41,636.7,6.0,,5.0,2.0,,0.0,5.0,5.0
Palmwoods,2020,2343.06,4.16,68.45,57.42,5.71,1.69,45.78,77.5,35.0,4.0,17.0,14.0,3.0,0.0,17.0,17.0
Panton Hill - St Andrews,2020,2560.96,,228.38,151.13,75.06,2.26,101.26,228.38,25.0,,8.0,5.0,1.0,0.0,8.0,8.0
Parafield Gardens,2020,10.76,8.15,8.15,,,3.13,2.61,8.15,3.0,1.0,1.0,,,0.0,1.0,1.0
Parkes (NSW),2020,51146.02,,,,,,,,41.0,,,,,,,
Parkes Surrounds,2020,370998.84,,0.56,,,1.0,0.56,0.56,277.0,,1.0,,,0.0,1.0,1.0
Parkhurst - Kawana,2020,634.59,,,,,,,,1.0,,,,,,,
Parklands - Camdale,2020,558.51,,167.16,147.64,19.52,1.59,105.03,167.16,7.0,,6.0,6.0,1.0,0.0,6.0,6.0
Paynesville,2020,13809.49,77.99,297.35,,,1.65,128.25,211.41,41.0,3.0,4.0,,,0.0,4.0,4.0
Pearcedale - Tooradin,2020,1117.99,58.59,968.7,545.89,,4.1,238.25,975.96,29.0,2.0,11.0,10.0,,0.0,11.0,11.0
Pemberton,2020,70935.43,6561.94,20437.34,13541.87,221.58,4.19,4849.57,20317.46,224.0,12.0,102.0,87.0,6.0,0.0,102.0,102.0
Pendle Hill - Girraween,2020,9.06,,,,,,,,2.0,,,,,,,
Penguin - Sulphur Creek,2020,1786.52,,882.8,812.7,,2.39,364.77,872.0,22.0,,16.0,10.0,,0.0,16.0,16.0
Penola,2020,98821.8,26833.86,32072.07,43.52,4822.84,2.78,11397.77,31696.15,210.0,108.0,112.0,1.0,2.0,0.0,112.0,112.0
Perth - Evandale,2020,18381.55,0.11,6939.46,2692.13,2800.6,3.09,2242.44,6921.42,34.0,1.0,18.0,5.0,7.0,0.0,18.0,18.0
Perth - Inner,2012,353.3,0.8,0.8,,,,,0.8,7.0,7.0,7.0,,,,,7.0
Perth - Inner,2013,598.0,,63.0,55.86,7.14,1.68,37.5,63.0,2.0,,1.0,1.0,1.0,0.0,1.0,1.0
Perth - Inner,2014,3005.04,53.66,53.73,,,,,,7.0,5.0,5.0,,,,,
Perth - Inner,2015,27982.54,,56.0,56.0,,3.43,10.96,37.57,6.0,,3.0,3.0,,0.0,1.0,1.0
Perth - Inner,2017,13458.0,,8.0,8.0,,,,,1.0,,1.0,1.0,,,,
Perth - North East,2012,29450.5,3961.5,4521.1,491.0,20.6,2.9,1439.7,4521.1,367.0,266.0,357.0,94.0,34.0,0.0,214.0,357.0
Perth - North East,2013,20395.1,3600.76,4054.0,387.33,5.66,4.03,942.78,3798.13,470.0,322.0,399.0,80.0,17.0,0.0,199.0,199.0
Perth - North East,2014,30640.97,4567.5,4699.8,107.96,7.3,3.32,1095.59,3633.67,318.0,244.0,278.0,49.0,18.0,0.0,196.0,196.0
Perth - North East,2015,16179.07,3022.02,3625.55,528.53,3.31,4.58,723.18,3313.12,145.0,117.0,140.0,29.0,9.0,0.0,94.0,94.0
Perth - North East,2016,11547.96,3041.2,3561.52,444.88,,4.31,756.21,3255.59,117.0,88.0,109.0,30.0,,0.0,82.0,82.0
Perth - North East,2017,12383.25,2120.52,2914.7,246.8,546.71,4.03,570.62,2301.37,113.0,92.0,112.0,16.0,6.0,0.0,88.0,88.0
Perth - North East,2018,14555.63,1183.32,1360.27,176.32,,4.25,239.66,1017.76,122.0,90.0,116.0,37.0,,0.0,65.0,65.0
Perth - North East,2019,31741.96,3903.97,4119.86,65.6,,4.0,874.83,3501.29,175.0,109.0,127.0,17.0,,0.0,117.0,117.0
Perth - North East,2020,19335.33,3594.9,3716.45,35.72,57.25,5.08,709.47,3607.01,155.0,86.0,94.0,7.0,1.0,0.0,94.0,94.0
Perth - North West,2012,5771.4,17927.1,32520.2,858.6,3.0,10.6,3027.7,32520.2,219.0,191.0,208.0,15.0,1.0,0.0,164.0,208.0
Perth - North West,2013,44012.75,17394.88,17516.04,101.74,,8.37,2022.68,16922.73,192.0,150.0,175.0,25.0,,0.0,140.0,140.0
Perth - North West,2014,2445.64,14482.02,15278.74,13.82,458.18,10.88,1367.16,14874.44,169.0,133.0,136.0,3.0,2.0,0.0,120.0,120.0
Perth - North West,2015,4995.56,10195.48,10496.76,9.95,208.68,10.1,1004.38,10141.45,124.0,114.0,118.0,2.0,3.0,0.0,102.0,102.0
Perth - North West,2016,3842.76,10745.51,10750.12,4.59,,12.18,859.16,10468.68,118.0,117.0,117.0,1.0,,0.0,99.0,99.0
Perth - North West,2017,3336.32,6870.45,6876.67,6.04,,10.76,617.78,6647.23,102.0,83.0,85.0,2.0,,0.0,71.0,71.0
Perth - North West,2018,3756.47,9067.07,9087.47,6.78,,10.35,813.72,8418.89,112.0,101.0,106.0,2.0,,0.0,89.0,89.0
Perth - North West,2019,6765.13,8886.84,8911.66,4.5,,9.12,852.68,7778.09,121.0,103.0,107.0,1.0,,0.0,95.0,95.0
Perth - North West,2020,3241.73,11995.89,12549.19,27.96,221.01,10.8,1161.28,12543.42,116.0,82.0,86.0,6.0,1.0,0.0,86.0,86.0
Perth - South East,2012,28396.7,2910.2,4670.0,376.4,622.9,2.9,935.6,4670.0,368.0,266.0,318.0,137.0,29.0,0.0,170.0,318.0
Perth - South East,2013,29057.0,6329.88,8639.32,617.19,1241.2,7.01,1052.49,7376.78,330.0,256.0,299.0,141.0,20.0,0.0,188.0,188.0
Perth - South East,2014,22836.46,5808.71,8541.95,978.09,639.8,5.61,1203.21,6752.06,365.0,228.0,307.0,169.0,37.0,0.0,180.0,180.0
Perth - South East,2015,17437.4,6441.59,9765.55,1431.93,761.42,6.46,1267.36,8181.15,212.0,153.0,197.0,72.0,17.0,0.0,130.0,130.0
Perth - South East,2016,19137.55,4884.22,6889.7,742.23,305.88,4.83,1089.48,5264.23,249.0,193.0,238.0,53.0,33.0,0.0,141.0,141.0
Perth - South East,2017,18789.37,2653.23,4181.57,278.35,313.39,2.92,1151.14,3355.78,193.0,131.0,166.0,55.0,18.0,0.0,116.0,116.0
Perth - South East,2018,15025.38,3608.61,4904.28,280.18,79.57,4.21,1040.28,4380.95,211.0,170.0,192.0,53.0,9.0,0.0,139.0,139.0
Perth - South East,2019,15222.0,5779.7,8334.1,1339.63,50.35,6.68,1032.92,6903.58,191.0,119.0,148.0,47.0,5.0,0.0,126.0,126.0
Perth - South East,2020,15051.05,3828.73,5805.55,495.97,329.17,6.67,864.9,5764.95,219.0,97.0,119.0,35.0,5.0,0.0,119.0,119.0
Perth - South West,2012,3087.0,7745.4,7896.8,100.3,0.0,10.4,755.2,7896.8,112.0,82.0,86.0,8.0,1.0,0.0,74.0,86.0
Perth - South West,2013,17429.59,4176.03,4345.07,61.93,,9.38,444.98,4172.38,81.0,58.0,71.0,12.0,,0.0,53.0,53.0
Perth - South West,2014,861.58,3123.76,3223.45,3.41,,10.07,310.88,3130.12,70.0,65.0,66.0,3.0,,0.0,56.0,56.0
Perth - South West,2015,18377.0,4403.47,4443.2,3.54,,9.28,454.89,4219.81,61.0,53.0,53.0,1.0,,0.0,47.0,47.0
Perth - South West,2016,1468.99,1291.05,1333.05,,,6.55,100.95,661.73,65.0,63.0,64.0,,,0.0,55.0,55.0
Perth - South West,2017,1099.75,2702.83,2744.83,,,9.41,280.28,2636.42,53.0,52.0,53.0,,,0.0,43.0,43.0
Perth - South West,2018,495.06,6557.33,7433.89,6.92,,13.52,526.63,7117.75,56.0,46.0,51.0,2.0,,0.0,42.0,42.0
Perth - South West,2019,779.05,4738.31,5116.06,318.31,,8.68,562.83,4882.89,61.0,46.0,48.0,3.0,,0.0,46.0,46.0
Perth - South West,2020,576.85,3363.14,3559.24,0.2,,7.86,452.88,3560.37,60.0,40.0,40.0,1.0,,0.0,40.0,40.0
Perth-Inner,2011,16042.2,155.8,587.5,26.8,,3.2,150.5,587.5,22.0,3.0,13.0,1.0,,0.0,11.0,13.0
Perth-North East,2011,54233.4,4034.7,4396.6,175.6,42.5,2.2,1881.6,4396.6,448.0,228.0,353.0,118.0,78.0,0.0,170.0,353.0
Perth-North West,2011,16295.1,13983.4,17331.2,3159.3,140.1,11.6,1469.8,17331.2,173.0,133.0,148.0,14.0,2.0,0.0,129.0,148.0
Perth-South East,2011,22813.0,5017.5,8587.9,1106.7,737.2,4.0,1714.4,8587.9,457.0,334.0,406.0,178.0,32.0,0.0,287.0,406.0
Perth-South West,2011,1796.6,3683.7,3831.7,17.8,,6.7,566.9,3831.7,105.0,94.0,94.0,5.0,,0.0,80.0,94.0
Peterborough - Mount Remarkable,2020,1012544.22,659.79,1124.76,,44.24,4.07,276.42,1123.75,317.0,9.0,10.0,,1.0,0.0,10.0,10.0
Petermann - Simpson,2020,7064950.88,,,,,,,,11.0,,,,,,,
Phillip Island,2020,3132.82,,20.56,2.65,,2.25,9.15,20.56,22.0,,2.0,1.0,,0.0,2.0,2.0
Pialba - Eli Waters,2020,899.18,,,,,,,,1.0,,,,,,,
Piara Waters - Forrestdale,2020,321.54,19.05,48.44,,,0.0,0.0,48.44,10.0,4.0,6.0,,,0.0,6.0,6.0
Picton - Tahmoor - Buxton,2020,2429.75,18.06,161.35,22.39,107.07,3.6,40.16,144.76,40.0,4.0,12.0,8.0,1.0,0.0,10.0,10.0
Pimpama - North,2020,190.2,,6.93,6.93,,4.0,1.73,6.93,3.0,,1.0,1.0,,0.0,1.0,1.0
Pinjarra,2020,40618.93,88.83,1681.79,979.53,,4.72,358.51,1693.6,111.0,4.0,8.0,5.0,,0.0,8.0,8.0
Pinjarra Hills - Pullenvale,2020,1.73,,,,,,,,1.0,,,,,,,
Pioneer Valley,2020,97810.32,42987.48,65128.6,2632.78,8860.22,4.26,14963.84,63684.88,209.0,50.0,124.0,31.0,41.0,0.0,124.0,124.0
Pitt Town - McGraths Hill,2020,812.44,126.39,1097.69,43.8,907.07,2.43,453.28,1101.1,37.0,1.0,23.0,8.0,10.0,0.0,23.0,23.0
Pittsworth,2020,85580.83,4862.27,13596.59,8700.52,5.48,2.87,4158.72,11922.07,179.0,35.0,41.0,17.0,1.0,0.0,41.0,41.0
Plantagenet,2020,242434.77,64.68,826.23,761.55,,1.33,622.91,827.75,251.0,1.0,18.0,18.0,,0.0,18.0,18.0
Plenty - Yarrambat,2020,9.78,,17.8,,,1.23,5.74,7.05,3.0,,2.0,,,0.0,2.0,2.0
Point Cook - South,2020,56.71,,448.75,,203.98,3.67,122.39,448.75,1.0,,1.0,,1.0,0.0,1.0,1.0
Point Lonsdale - Queenscliff,2020,1282.73,,,,,,,,8.0,,,,,,,
Point Nepean,2020,93.43,5.49,7.4,1.91,,0.62,16.56,10.3,5.0,2.0,3.0,1.0,,0.0,3.0,3.0
Pooraka - Cavan,2020,0.59,,5.91,,,10.0,0.59,5.91,1.0,,1.0,,,0.0,1.0,1.0
Port Augusta,2020,11729.55,,,,,,,,1.0,,,,,,,
Port Douglas,2020,1922.8,6.22,19.72,9.0,,3.45,8.02,27.65,15.0,2.0,2.0,1.0,,0.0,2.0,2.0
Port Hedland,2020,200000.0,13560.0,13560.0,,,15.24,890.0,13560.0,1.0,1.0,1.0,,,0.0,1.0,1.0
Port Lincoln,2020,5177.09,0.58,28.77,18.57,,1.96,14.71,28.77,11.0,1.0,3.0,1.0,,0.0,3.0,3.0
Port Macquarie - South,2020,37.17,,,,,,,,1.0,,,,,,,
Port Macquarie - West,2020,1127.67,,,,,,,,3.0,,,,,,,
Port Macquarie Surrounds,2020,56234.41,161.02,1583.98,343.51,1079.45,1.46,1108.28,1613.52,178.0,10.0,29.0,13.0,17.0,0.0,29.0,29.0
Port Pirie Surrounds,2020,462995.29,182.6,187.03,,,1.71,109.64,187.03,86.0,1.0,2.0,,,0.0,2.0,2.0
Port Sorell,2020,10978.29,807.26,7291.47,4292.72,255.0,2.57,2634.89,6759.68,56.0,9.0,42.0,37.0,1.0,0.0,42.0,42.0
Portarlington,2020,2904.25,,13.42,11.19,,0.67,20.13,13.42,15.0,,1.0,1.0,,0.0,1.0,1.0
Portland,2020,3785.31,,,,,,,,16.0,,,,,,,
Pottsville,2020,3845.59,55.65,125.69,57.76,12.27,1.16,114.27,132.9,47.0,5.0,10.0,6.0,2.0,0.0,10.0,10.0
Proserpine,2020,136563.5,9025.1,31654.63,1985.04,11600.23,2.53,11415.03,28933.34,154.0,51.0,103.0,24.0,48.0,0.0,103.0,103.0
Prospect Reservoir,2020,352.22,,,,,,,,1.0,,,,,,,
Prospect Vale - Blackstone,2020,610.76,,,,,,,,1.0,,,,,,,
Pymble,2020,3.72,,3.01,1.84,,4.97,1.24,6.16,1.0,,1.0,1.0,,0.0,1.0,1.0
Quakers Hill,2020,1.82,,4.19,2.09,2.09,2.73,1.54,4.19,1.0,,1.0,1.0,1.0,0.0,1.0,1.0
Queanbeyan,2020,884.17,,,,,,,,1.0,,,,,,,
Queanbeyan Surrounds,2020,91449.79,36.38,56.63,12.44,7.81,0.76,82.79,62.57,103.0,3.0,8.0,4.0,1.0,0.0,7.0,7.0
Queensland,2011,137239081.3,431422.4,2108250.9,603142.9,513551.2,3.8,492382.2,2108250.9,28170.0,12327.0,24016.0,14364.0,7930.0,0.0,7572.0,24016.0
Queensland,2012,129548236.5,467064.9,2623228.1,838375.5,603131.3,4.6,514986.7,2623228.1,26647.0,13332.0,23513.0,12421.0,7253.0,0.0,6685.0,23513.0
Queensland,2013,139932697.5,575702.94,2957845.26,845999.75,716382.98,4.9,551585.01,2702866.82,26785.0,12798.0,23286.0,13495.0,6969.0,0.0,7461.0,7461.0
Queensland,2014,135917924.7,631089.04,2467276.76,508918.5,509401.39,4.34,514267.4,2232052.93,25511.0,12982.0,22259.0,12477.0,7617.0,0.0,7622.0,7622.0
Queensland,2015,127550908.1,761703.09,2646092.66,410529.46,610113.4,4.59,529636.85,2433478.22,18153.0,9393.0,16035.0,8914.0,5143.0,0.0,5415.0,5416.0
Queensland,2016,137954588.5,611953.84,2664294.88,573718.88,766626.92,4.54,533271.44,2422506.86,18514.0,9623.0,15970.0,8500.0,4452.0,0.0,4868.0,4868.0
Queensland,2017,139131719.1,721930.05,2683315.75,528465.06,723546.94,4.6,533338.32,2454762.04,18727.0,9589.0,16175.0,8474.0,4569.0,0.0,5401.0,5401.0
Queensland,2018,133147467.7,610722.26,1916685.82,290325.67,433795.93,4.06,413703.56,1680707.98,19346.0,9759.0,16581.0,8293.0,4223.0,0.0,4911.0,4911.0
Queensland,2019,128701969.4,592045.88,1987653.18,214290.46,440531.56,3.97,426535.1,1695410.02,18807.0,5739.0,10605.0,4675.0,2404.0,0.0,5136.0,5136.0
Queensland,2020,134842014.5,526115.66,2069457.37,258186.8,613889.28,4.41,446179.86,1966711.1,18482.0,2308.0,4816.0,1408.0,1392.0,0.0,4807.0,4807.0
Queensland - Outback,2012,88608453.1,64874.3,154067.4,34174.8,21903.3,5.3,11525.1,154067.4,2245.0,1577.0,2192.0,1371.0,887.0,0.0,230.0,2192.0
Queensland - Outback,2013,94742554.17,45009.4,155632.89,53958.96,19067.87,2.59,26527.16,68667.85,2132.0,1515.0,1998.0,1340.0,646.0,0.0,263.0,263.0
Queensland - Outback,2014,93622352.46,35204.67,157964.77,30737.56,36725.15,5.6,15790.94,88468.55,2131.0,1561.0,2016.0,1267.0,803.0,0.0,254.0,254.0
Queensland - Outback,2015,85020346.95,39088.19,147616.79,33214.23,33920.53,4.15,19546.91,81133.79,1860.0,1319.0,1799.0,1036.0,581.0,0.0,221.0,221.0
Queensland - Outback,2016,92720003.2,62075.23,149867.09,25538.65,23932.02,6.49,11079.36,71865.59,1805.0,1396.0,1732.0,901.0,450.0,0.0,188.0,188.0
